doc_x,sdg_x,score_a_norm,fuzz_x,rc2_x,rc_rank2_x,index1,doc_y,sdg_y,score_b_norm,fuzz_y,rc2_y,rc_rank2_y,doc,sdg,score_c_norm,fuzz,rc2,rc_rank2,dispersion
policybrief18,17,0.6928377432102877,-880,112.99999109636738,4,3029,policybrief18,12,0.49112426035502965,-600,441.99950871529126,13,policybrief18,13,0.6,-967,93.99999714680558,3,0.010193517068869527
policybrief18,9,0.3804028718668708,800,56.000017746795734,2,3030,policybrief18,8,0.4733727810650888,506,228.000261742548,7,policybrief18,8,0.39999999999999997,506,228.000261742548,7,0.0024018360747694407
policybrief18,2,0.20829019742100333,497,290.00002014147634,9,3031,policybrief18,6,0.3017751479289943,363,269.0000835984794,8,policybrief18,15,0.3,-803,137.99989305686375,6,0.002858879168454979
policybrief18,1,0.18204595788318997,-412,120.99997339805799,5,3032,policybrief18,1,0.29808324482880705,-412,120.99997339805799,5,policybrief18,9,0.19999999999999998,800,56.000017746795734,2,0.003901220417696562
policybrief18,10,0.042939856609641,952,418.00009135296494,12,3033,policybrief18,15,0.2680473372781065,-803,137.99989305686375,6,policybrief18,1,0.09999999999999999,-412,120.99997339805799,5,0.013694857563815594
policybrief18,15,0.038493955847567575,-803,137.99989305686375,6,3034,policybrief18,11,0.23891164719567082,-16,351.99999427264584,10,policybrief18,2,0.0,497,290.00002014147634,9,0.016454635134641123
policybrief18,14,0.013155195363060243,-723,368.99987106533064,11,3035,policybrief18,13,0.17842512517068737,-967,93.99999714680558,3,policybrief18,3,0.0,-206,655.9998536385876,17,0.009887122359305622
policybrief18,6,0.002262882237578275,363,269.0000835984794,8,3036,policybrief18,17,0.12820512820512817,-880,112.99999109636738,4,policybrief18,4,0.0,-871,460.99974683315395,14,0.005383854142244223
policybrief18,4,0.0001935793251379228,-871,460.99974683315395,14,3037,policybrief18,2,0.1183431952662722,497,290.00002014147634,9,policybrief18,5,0.0,198,602.0000859904792,16,0.004660746847637281
policybrief18,11,0.00012419938147347178,-16,351.99999427264584,10,3038,policybrief18,14,0.10946745562130177,-723,368.99987106533064,11,policybrief18,6,0.0,363,269.0000835984794,8,0.00398984782513613
policybrief18,5,6.570085068442523e-05,198,602.0000859904792,16,3039,policybrief18,16,0.07692307692307691,-841,537.9994872052305,15,policybrief18,10,0.0,952,418.00009135296494,12,0.0019707033894414265
policybrief18,8,6.014175347800175e-05,506,228.000261742548,7,3040,policybrief18,4,0.0710059171597633,-871,460.99974683315395,14,policybrief18,11,0.0,-16,351.99999427264584,10,0.001679191156121459
policybrief18,16,3.4643402252334195e-06,-841,537.9994872052305,15,3041,policybrief18,10,0.06508875739644969,952,418.00009135296494,12,policybrief18,12,0.0,-600,441.99950871529126,13,0.001412106953938359
policybrief18,3,2.7892683331966237e-07,-206,655.9998536385876,17,3042,policybrief18,3,0.03550295857988165,-206,655.9998536385876,17,policybrief18,14,0.0,-723,368.99987106533064,11,0.00042015005509159404
policybrief18,12,0.0,-600,441.99950871529126,13,3043,policybrief18,5,0.0,198,602.0000859904792,16,policybrief18,16,0.0,-841,537.9994872052305,15,
policybrief17,13,1.0,588,66.00000007825352,2,3044,policybrief17,17,1.0,975,149.00000270327493,4,policybrief17,13,1.0,588,66.00000007825352,2,
policybrief17,17,0.23332165802235166,975,149.00000270327493,4,3045,policybrief17,16,0.6145966709346989,938,344.0004851886131,9,policybrief17,1,0.11760553437808839,-651,172.9997670289059,6,0.06762684109306608
policybrief17,9,0.10405979349983371,916,115.00000921998956,3,3046,policybrief17,7,0.43854033290652994,170,29.000003772401982,1,policybrief17,7,0.11760553437808839,170,29.000003772401982,1,0.03584331054070444
policybrief17,7,0.08218722782520768,170,29.000003772401982,1,3047,policybrief17,11,0.3425447791644974,-633,259.99985423242947,8,policybrief17,2,0.05887335874629395,107,350.0000652209557,10,0.02479984429881679
